Date,Country/Region,Province/State,Confirmed,Recovered,Deaths
2020-01-22,India,,0,0,0
2020-01-23,India,,0,0,0
2020-01-24,India,,0,0,0
2020-01-25,India,,0,0,0
2020-01-26,India,,0,0,0
2020-01-27,India,,0,0,0
2020-01-28,India,,0,0,0
2020-01-29,India,,0,0,0
2020-01-30,India,,1,0,0
2020-01-31,India,,1,0,0
2020-02-01,India,,1,0,0
2020-02-02,India,,2,0,0
2020-02-03,India,,3,0,0
2020-02-04,India,,3,0,0
2020-02-05,India,,3,0,0
2020-02-06,India,,3,0,0
2020-02-07,India,,3,0,0
2020-02-08,India,,3,0,0
2020-02-09,India,,3,0,0
2020-02-10,India,,3,0,0
2020-02-11,India,,3,0,0
2020-02-12,India,,3,0,0
2020-02-13,India,,3,0,0
2020-02-14,India,,3,0,0
2020-02-15,India,,3,0,0
2020-02-16,India,,3,3,0
2020-02-17,India,,3,3,0
2020-02-18,India,,3,3,0
2020-02-19,India,,3,3,0
2020-02-20,India,,3,3,0
2020-02-21,India,,3,3,0
2020-02-22,India,,3,3,0
2020-02-23,India,,3,3,0
2020-02-24,India,,3,3,0
2020-02-25,India,,3,3,0
2020-02-26,India,,3,3,0
2020-02-27,India,,3,3,0
2020-02-28,India,,3,3,0
2020-02-29,India,,3,3,0
2020-03-01,India,,3,3,0
2020-03-02,India,,5,3,0
2020-03-03,India,,5,3,0
2020-03-04,India,,28,3,0
2020-03-05,India,,30,3,0
2020-03-06,India,,31,3,0
2020-03-07,India,,34,3,0
2020-03-08,India,,39,3,0
2020-03-09,India,,43,3,0
2020-03-10,India,,56,4,0
2020-03-11,India,,62,4,1
2020-03-12,India,,73,4,1
2020-03-13,India,,82,4,2
2020-03-14,India,,102,4,2
2020-03-15,India,,113,13,2
2020-03-16,India,,119,13,2
2020-03-17,India,,142,14,3
2020-03-18,India,,156,14,3
2020-03-19,India,,194,15,4
2020-03-20,India,,244,20,5
2020-03-21,India,,330,23,4
2020-03-22,India,,396,27,7
2020-03-23,India,,499,27,10
2020-03-24,India,,536,40,10
2020-03-25,India,,657,43,12
2020-03-26,India,,727,45,20
2020-03-27,India,,887,73,20
2020-03-28,India,,987,84,24
2020-03-29,India,,1024,95,27
2020-03-30,India,,1251,102,32
2020-03-31,India,,1397,123,35
2020-04-01,India,,1998,148,58
2020-04-02,India,,2543,191,72
2020-04-03,India,,2567,192,72
2020-04-04,India,,3082,229,86
2020-04-05,India,,3588,229,99
2020-04-06,India,,4778,375,136
2020-04-07,India,,5311,421,150
2020-04-08,India,,5916,506,178
2020-04-09,India,,6725,620,226
2020-04-10,India,,7598,774,246
2020-04-11,India,,8446,969,288
2020-04-12,India,,9205,1080,331
2020-04-13,India,,10453,1181,358
2020-04-14,India,,11487,1359,393
2020-04-15,India,,12322,1432,405
2020-04-16,India,,13430,1768,448
2020-04-17,India,,14352,2041,486
2020-04-18,India,,15722,2463,521
2020-04-19,India,,17615,2854,559
2020-04-20,India,,18539,3273,592
2020-04-21,India,,20080,3975,645
2020-04-22,India,,21370,4370,681
2020-04-23,India,,23077,5012,721
2020-04-24,India,,24530,5498,780
2020-04-25,India,,26283,5939,825
2020-04-26,India,,27890,6523,881
2020-04-27,India,,29451,7137,939
2020-04-28,India,,31324,7747,1008
2020-04-29,India,,33062,8437,1079
2020-04-30,India,,34863,9068,1154
2020-05-01,India,,37257,10007,1223
2020-05-02,India,,39699,10819,1323
2020-05-03,India,,42505,11775,1391
2020-05-04,India,,46437,12847,1566
2020-05-05,India,,49400,14142,1693
2020-05-06,India,,52987,15331,1785
2020-05-07,India,,56351,16776,1889
2020-05-08,India,,59695,17887,1985
2020-05-09,India,,62808,19301,2101
2020-05-10,India,,67161,20969,2212
2020-05-11,India,,70768,22549,2294
2020-05-12,India,,74292,24420,2415
2020-05-13,India,,78055,26400,2551
2020-05-14,India,,81997,27969,2649
2020-05-15,India,,85784,30258,2753
2020-05-16,India,,90648,34224,2871
2020-05-17,India,,95698,36795,3025
2020-05-18,India,,100328,39233,3156
2020-05-19,India,,106475,42309,3302
2020-05-20,India,,112028,45422,3434
2020-05-21,India,,118226,48553,3584
2020-05-22,India,,124794,51824,3726
2020-05-23,India,,131423,54385,3868
2020-05-24,India,,138536,57692,4024
2020-05-25,India,,144950,60706,4172
2020-05-26,India,,150793,64277,4344
2020-05-27,India,,158086,67749,4534
2020-05-28,India,,165386,70920,4711
2020-05-29,India,,173491,82627,4980
2020-05-30,India,,181827,86936,5185
2020-05-31,India,,190609,91852,5408
2020-06-01,India,,198370,95754,5608
2020-06-02,India,,207191,100285,5829
2020-06-03,India,,216824,104071,6088
2020-06-04,India,,226713,108450,6363
2020-06-05,India,,236184,113233,6649
2020-06-06,India,,246622,118695,6946
2020-06-07,India,,257486,123848,7207
2020-06-08,India,,265928,129095,7473
2020-06-09,India,,276146,134670,7750
2020-06-10,India,,286605,135206,8102
2020-06-11,India,,297535,147195,8498
2020-06-12,India,,308993,154330,8884
2020-06-13,India,,320922,162379,9195
2020-06-14,India,,332424,169798,9520
2020-06-15,India,,343091,180013,9900
2020-06-16,India,,354065,186935,11903
2020-06-17,India,,366946,194325,12237
2020-06-18,India,,380532,204711,12573
2020-06-19,India,,395048,213831,12948
2020-06-20,India,,410451,227728,13254
2020-06-21,India,,425282,237196,13699
2020-06-22,India,,440215,248190,14011
2020-06-23,India,,456183,258685,14476
2020-06-24,India,,473105,271697,14894
2020-06-25,India,,490401,285637,15301
2020-06-26,India,,508953,295881,15685
2020-06-27,India,,528859,309713,16095
2020-06-28,India,,548318,321723,16475
2020-06-29,India,,566840,334822,16893
2020-06-30,India,,585481,347912,17400
